WKT,nombre,descripción
"POINT (-3.677626 40.153664 632.0)",Atajo,
"POINT (-3.678252 40.152938 575.0)",Cerro Espartinas,
"POINT (-3.674895 40.162596 665.0)",Inicio (Parking),
"POINT (-3.6712 40.15372 579.0)",Puente sobre la R-4,
"POINT (-3.680679 40.151857 627.0)",Torre Control de Incendios,
"POINT (-3.678659 40.152543 644.0)",Tramo campo a traves,
"POINT (-3.674893 40.162604 633.265)",Inicio de 0927F Subida al Cerro Espartinas (Cerros de Espartinas o Cer...,martes, 15 de diciembre de 2015, 9:00 CET
Elevación: 633 m
"POINT (-3.674911 40.162595 742.608)",Fin de 0927F Subida al Cerro Espartinas (Cerros de Espartinas o Cer...,martes, 15 de diciembre de 2015, 10:52 CET
Elevación: 743 m
